3, greedy, f2opt (single thread), f2opt (multi thread)
1, 0.475, 1.3339, 0.9088
2, 0.4184, 1.4104, 0.8463
3, 0.4125, 1.133, 0.7813
4, 0.4151, 1.2185, 0.8636
5, 0.4073, 1.14, 0.8005
6, 0.4327, 1.1878, 0.8024
7, 0.4034, 1.2843, 0.8548
8, 0.5034, 1.0689, 0.8337
9, 0.4743, 1.0986, 0.7058
10, 0.4272, 1.0551, 0.7447
11, 0.5064, 1.308, 0.836
12, 0.4606, 1.3909, 0.8713
13, 0.5196, 1.1954, 0.9069
14, 0.4564, 1.3341, 0.9602
15, 0.4423, 1.3518, 0.9397
16, 0.3952, 1.1722, 0.8454
17, 0.409, 1.3968, 0.9885
18, 0.4951, 1.0605, 0.7531
19, 0.4524, 1.0992, 0.6893
20, 0.4086, 1.325, 0.874