32, greedy, g2opt (fs), g2opt (bs), f2opt, tabu (1/10-fixed), tabu (1/5-fixed), tabu (1/10-1/10), tabu (1/5-1/10), tabu (1/5-1/5), vns, fvns, benders loop, benders loop (patch), Branch and Cut, Branch and Cut (warm), Branch and Cut (rcb), Branch and Cut (warm) (rcb), Branch and Cut (warm) (rcb) (ccb-patch), Branch and Cut (warm) (rcb) (rcb-patch), Branch and Cut (warm) (rcb) (both-patch), Branch and Cut (warm) (rcb) (ccb-patch), fvns, Hard Fixing (20%), Hard Fixing (40%), Hard Fixing (60%), Hard Fixing (80%), Local Branching v1 (20), Local Branching v1 (50), Local Branching v1 (100), Local Branching v2, Local Branching v2 (context-whole), Local Branching v2 (context-2)
1, 0.475, 42.8051, 43.7212, 0.9088, 120.0131, 120.0136, 120.0154, 120.0162, 120.0137, 120.0263, 120.008, 124.8541, 122.2623, 51.7642, 58.7861, 49.5702, 47.596, 17.1657, 19.7856, 20.5177, 120.6802, 120.0468, 120.7668, 120.5182, 120.0818, 120.242, 122.8155, 120.0726, 120.164, 122.7063, 121.313, 121.1851
2, 0.4184, 44.4132, 46.5803, 0.8463, 120.0143, 120.0128, 120.0134, 120.0151, 120.0145, 120.0066, 120.0266, 172.9732, 160.7645, 114.9146, 73.4048, 67.7591, 54.0616, 32.7779, 35.1893, 33.5232, 120.9338, 120.0354, 122.0644, 121.1886, 120.1907, 120.1691, 122.6695, 120.2535, 120.1023, 120.2037, 120.4611, 120.095
3, 0.4125, 40.1408, 39.1418, 0.7813, 120.0168, 120.0134, 120.0155, 120.0141, 120.0151, 120.0264, 120.0255, 116.5394, 125.7443, 62.3499, 44.5353, 28.2676, 30.4547, 22.4732, 21.928, 32.4306, 127.5361, 120.0636, 120.1428, 121.506, 120.2214, 120.6628, 123.1704, 120.2173, 120.1779, 122.0505, 121.149, 122.1181
4, 0.4151, 40.1059, 41.7478, 0.8636, 120.0147, 120.0152, 120.0138, 120.0145, 120.0125, 120.0046, 120.0249, 37.8075, 35.2244, 23.7494, 35.4612, 10.9876, 14.0728, 11.151, 14.5111, 11.8894, 120.9638, 120.0202, 121.8718, 121.6001, 120.0804, 120.8687, 120.1884, 120.9629, 120.1943, 121.8552, 120.4186, 121.2727
5, 0.4073, 43.7636, 44.0488, 0.8005, 120.0151, 120.0146, 120.016, 120.0149, 120.015, 120.0211, 120.0151, 95.2381, 93.6365, 93.7079, 89.0337, 42.9486, 45.1725, 30.1766, 28.6627, 29.5507, 123.8653, 120.0748, 120.6715, 121.4502, 120.3963, 120.2041, 122.8796, 120.2372, 120.3003, 121.9801, 121.024, 121.3963
6, 0.4327, 44.1494, 42.6546, 0.8024, 120.0124, 120.0142, 120.0139, 120.014, 120.0165, 120.011, 120.0233, 94.7131, 90.23, 48.5942, 65.692, 54.2608, 43.3138, 12.6284, 19.3059, 14.7954, 121.0799, 120.0514, 120.6145, 122.3453, 120.0628, 120.6446, 120.2762, 120.1117, 120.2052, 120.7581, 122.285, 122.9164
7, 0.4034, 42.4796, 42.3427, 0.8548, 120.0133, 120.0132, 120.0171, 120.0142, 120.0158, 120.0252, 120.0175, 129.1444, 125.7847, 50.8906, 61.6967, 40.7432, 45.9027, 18.87, 22.3369, 16.953, 123.4462, 120.0357, 120.9633, 120.2919, 120.0589, 120.3839, 120.2367, 122.2073, 120.1585, 120.2923, 122.9405, 121.0812
8, 0.5034, 42.0904, 43.4669, 0.8337, 120.0136, 120.0142, 120.0145, 120.0146, 120.0139, 120.0065, 120.022, 58.6976, 54.6967, 55.2565, 34.3681, 34.4548, 24.832, 15.2819, 23.4439, 20.219, 124.0219, 120.0654, 121.4213, 121.3939, 120.3973, 120.1563, 120.0411, 120.1702, 120.6006, 120.1188, 121.4133, 121.1744
9, 0.4743, 42.1042, 43.4135, 0.7058, 120.0145, 120.0129, 120.0141, 120.013, 120.0129, 120.025, 120.0086, 76.6828, 73.0205, 30.7795, 34.7661, 20.5874, 31.0395, 16.5234, 20.5542, 18.9611, 125.2094, 120.0062, 120.487, 121.4436, 120.09, 120.086, 120.2382, 120.3571, 120.1812, 120.4761, 120.8065, 120.9868
10, 0.4272, 43.384, 44.5624, 0.7447, 120.0167, 120.0176, 120.0139, 120.0143, 120.0165, 120.018, 120.0194, 97.2613, 101.5337, 69.8642, 74.2968, 23.4494, 44.4633, 19.1065, 28.1253, 16.4413, 122.7017, 120.0808, 120.0915, 120.2146, 121.0716, 120.1706, 123.7875, 120.3855, 120.6117, 121.4833, 121.2008, 120.5653
11, 0.5064, 39.4039, 40.1128, 0.836, 120.0147, 120.0172, 120.017, 120.0146, 120.0171, 120.0089, 120.0012, 131.1075, 130.7725, 78.1299, 62.6757, 34.9705, 27.5889, 19.0418, 20.3052, 23.8982, 120.6174, 120.0208, 121.1427, 120.7078, 120.1095, 120.131, 120.3595, 122.6763, 120.3202, 121.2067, 120.4512, 120.2828
12, 0.4606, 45.3489, 42.6725, 0.8713, 120.0136, 120.014, 120.02, 120.0167, 120.016, 120.0172, 120.0248, 350.5437, 328.2588, 160.727, 186.8948, 99.8426, 100.2452, 58.556, 65.8312, 90.2295, 121.0435, 120.0115, 121.3772, 120.3241, 120.2397, 120.077, 120.3236, 120.2823, 122.3136, 122.2755, 122.034, 120.4611
13, 0.5196, 39.8647, 41.7389, 0.9069, 120.0139, 120.016, 120.0146, 120.014, 120.0127, 120.0094, 120.0214, 51.6336, 47.7285, 38.8108, 33.7546, 26.2765, 25.8019, 10.9999, 13.5582, 12.2753, 123.7854, 120.0202, 121.2482, 121.2593, 120.1799, 120.2324, 120.277, 122.1484, 120.4629, 122.5055, 122.4188, 121.9796
14, 0.4564, 46.9182, 45.0771, 0.9602, 120.0146, 120.0139, 120.0147, 120.0126, 120.0144, 120.0169, 120.021, 92.6992, 91.629, 84.0235, 46.231, 32.0929, 26.6198, 22.8325, 25.477, 21.7083, 124.0835, 120.0177, 121.1237, 120.796, 120.3408, 120.3133, 120.2435, 120.5501, 120.1686, 122.758, 123.9931, 120.656
15, 0.4423, 35.9018, 36.9634, 0.9397, 120.0148, 120.0149, 120.0159, 120.015, 120.0128, 120.0005, 120.0144, 290.7569, 296.2799, 31.3909, 73.2269, 42.7297, 45.5426, 26.4429, 37.594, 28.7562, 120.7577, 120.0346, 121.1114, 121.8139, 120.1475, 120.9859, 120.0788, 120.2106, 120.3819, 120.332, 120.3813, 120.6861
16, 0.3952, 37.9469, 38.578, 0.8454, 120.0142, 120.0126, 120.0154, 120.0139, 120.0144, 120.0173, 120.0191, 182.5468, 177.4025, 67.7958, 69.0692, 71.2471, 70.1395, 28.3513, 31.8058, 32.7238, 126.5805, 120.0832, 120.5081, 121.1465, 120.1114, 120.2034, 121.8869, 121.8678, 123.6757, 120.2225, 122.0417, 123.7988
17, 0.409, 42.2651, 42.7732, 0.9885, 120.014, 120.0126, 120.0173, 120.0157, 120.0144, 120.0036, 120.0232, 105.897, 95.2894, 42.9612, 37.4147, 37.3493, 32.8499, 16.7534, 18.7001, 18.3362, 127.136, 120.0372, 120.5669, 121.3115, 120.3234, 120.1676, 120.1813, 120.4568, 120.3852, 120.394, 120.2483, 120.711
18, 0.4951, 41.9349, 42.6335, 0.7531, 120.0125, 120.0138, 120.0143, 120.0139, 120.0143, 120.0228, 120.0197, 117.4606, 122.035, 46.3616, 39.9766, 34.3607, 30.12, 16.7838, 25.5772, 27.8532, 120.7753, 120.0458, 120.2547, 122.1113, 120.1403, 120.1693, 122.3616, 120.2056, 120.1902, 120.2495, 120.5184, 121.4259
19, 0.4524, 44.55, 44.3989, 0.6893, 120.0145, 120.014, 120.0139, 120.0145, 120.0169, 120.0183, 120.0041, 247.3642, 228.9064, 74.6922, 119.5669, 65.1418, 52.912, 29.9612, 39.5012, 42.6474, 120.5847, 120.0346, 120.1153, 120.0226, 120.1873, 120.1354, 123.3762, 120.2011, 120.1946, 121.1064, 121.6985, 124.0607
20, 0.4086, 44.8283, 46.0258, 0.874, 120.0142, 120.0129, 120.0131, 120.0144, 120.0119, 120.0246, 120.0147, 125.3044, 117.1955, 49.9124, 67.2743, 40.7579, 60.1344, 20.4082, 25.4412, 22.7754, 120.9652, 120.0502, 121.5946, 121.4986, 120.0726, 120.1447, 120.1201, 120.2071, 120.1337, 123.2023, 122.6469, 123.8926
